tinh,nuoc_sach,dien,nsach_hethong,nha_vs_dat_chuan,biet_chu,nha_kien_co,nha_ban_kien_co,nha_thieu_kien_co,nha_don_so
ha noi,99.96,99.9,99.04599999999999,99.16999999999999,99.97999999999999,90.26333333333334,9.683333333333332,0.05000000000000001,0.0
vinh phuc,99.92,99.9,98.444,87.20599999999999,99.76,88.93666666666667,10.823333333333332,0.19000000000000003,0.049999999999999996
bac ninh,100.0,100.0,98.29399999999998,92.93199999999999,99.97999999999999,93.24333333333334,6.756666666666668,0.0,0.0
quang ninh,99.44000000000001,99.975,96.928,97.44,98.38,92.63999999999999,6.436666666666667,0.5099999999999999,0.4166666666666667
hai duong,100.0,99.95,98.732,97.476,99.47999999999999,93.95333333333333,5.906666666666666,0.0,0.14
hai phong,99.58,99.9,98.89200000000001,98.2,99.97999999999999,83.96999999999998,15.92,0.11,0.0
hung yen,99.91999999999999,100.0,98.458,83.76599999999999,99.67999999999999,95.11000000000001,4.863333333333333,0.02666666666666667,0.0
thai binh,99.86,99.925,98.872,99.1,99.94000000000001,98.95666666666666,1.0433333333333332,0.0,0.0
ha nam,99.53999999999999,100.0,98.58,94.614,99.92,94.76333333333334,5.136666666666667,0.09999999999999999,0.0
nam dinh,99.94,100.0,98.23799999999999,95.086,99.82000000000001,97.10000000000001,2.8333333333333335,0.06666666666666667,0.0
ninh binh,98.22,99.925,98.018,89.014,98.96,95.83333333333333,4.11,0.05666666666666667,0.0
ha giang,67.24,93.0,74.184,76.02799999999999,59.44000000000001,25.113333333333333,37.18666666666667,22.593333333333334,15.106666666666667
cao bang,69.4,90.05000000000001,86.124,76.602,65.12,39.04666666666667,49.616666666666674,7.993333333333333,3.3433333333333333
bac kan,87.34,96.95,92.486,87.31400000000001,86.98,35.296666666666674,44.74333333333333,17.003333333333334,2.956666666666667
tuyen quang,87.42,97.975,95.038,88.08800000000001,91.2,46.666666666666664,30.97666666666667,12.666666666666666,9.69
lao cai,89.96000000000001,96.35000000000001,83.86800000000001,91.758,84.82000000000001,27.986666666666668,51.91,15.053333333333333,5.033333333333334
yen bai,82.28,96.375,89.464,82.726,89.62,27.793333333333333,50.07333333333333,14.653333333333334,7.476666666666667
thai nguyen,97.48,99.80000000000001,98.216,95.62,98.96000000000001,72.07000000000001,25.723333333333333,0.8966666666666666,1.3099999999999998
lang son,94.22,97.925,95.984,96.78399999999999,90.5,52.6,37.5,8.136666666666667,1.763333333333333
bac giang,99.28,99.95,98.23799999999999,92.756,99.11999999999999,83.74000000000001,16.033333333333335,0.21,0.0
phu tho,98.22,99.69999999999999,98.086,94.006,98.02000000000001,64.41666666666667,32.31333333333333,2.2,1.0733333333333333
dien bien,70.11999999999999,90.8,75.326,76.914,56.98,24.296666666666667,62.76333333333334,8.14,4.796666666666667
lai chau,84.3,94.05,66.53599999999999,89.704,65.35999999999999,19.276666666666667,65.23666666666666,11.926666666666668,3.546666666666667
son la,77.88,94.67500000000001,79.938,88.766,73.67999999999999,34.35333333333333,51.07666666666666,10.406666666666666,4.163333333333333
hoa binh,93.08,99.825,97.076,93.556,94.83999999999999,71.26666666666667,24.626666666666665,3.063333333333333,1.0433333333333332
thanh hoa,97.32000000000001,99.225,96.74600000000001,92.05799999999999,97.28,84.08666666666666,12.906666666666666,2.1766666666666663,0.8300000000000001
nghe an,90.70000000000002,96.95,97.346,83.77799999999999,89.3,87.84333333333332,8.81,2.856666666666667,0.4733333333333334
ha tinh,96.94,99.8,98.25800000000001,85.996,96.87999999999998,88.70666666666666,8.866666666666665,1.93,0.5
quang binh,94.88000000000001,98.60000000000001,97.602,74.31400000000001,92.61999999999998,87.00666666666666,8.793333333333333,3.01,1.19
